02 51 00017 4|SRE IMPRIMERIE EMA|4.00|3.50|1.50|4.00|4.00|OUI||
02 51 00020 4|STE TRAFOX|4.00|3.50|1.50|4.00|4.00|OUI||
02 51 00021 2|STE CABLEX|4.00|3.50|1.50|4.00|4.00|OUI||
02 51 00031 0|L ART DU SOULIER|4.00|3.50|1.50|4.00|4.00|OUI||
02 59 00002 5|STE SOLUTION COMPOSITES|4.00|3.50|1.50|4.00|4.00|OUI||
02 59 00005 0|STE N.L.K|4.00|3.50|1.50|4.00|4.00|OUI||
03 10 00238 0|STE KARMEX|2.00|.25|1.50|2.00|2.00|OUI||
03 10 00436 7|STE SODI EXPORT|4.00|3.50|1.50|4.00|4.00|OUI||
03 10 00494 4|STE J.C.K|4.00|3.50|1.50|4.00|4.00|OUI||
03 10 00627 0|STE MNIF COMMERCE STE MCI|4.00|3.50|1.50|4.00|4.00|OUI||
03 10 00726 9|STE  F. C. E|4.00|3.50|1.50|4.00|4.00|OUI||
03 10 00761 7|STE SOKAS SHOES|4.00|3.50|1.50|4.00|4.00|OUI||
03 32 00233 3|STE FCE SARL|4.00|3.50|1.50|4.00|4.00|OUI||
03 32 00235 0|STE MONDO JEANS|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00056 9|G T S|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00076 3|M E L|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00125 5|STE M S T|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00147 6|STE EDITO|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00164 6|EMBALTECH TUNISIE SARL|4.00|3.50|1.50|4.00|4.00|OUI||
03 50 00168 9|STE MONDO JEANS|4.00|3.50|1.50|4.00|4.00|OUI||
03 51 00037 6|M E L|4.00|3.50|1.50|4.00|4.00|OUI||
03 51 00079 1|GTS|4.00|3.50|1.50|4.00|4.00|OUI||
03 51 00110 0|STE M S T|4.00|3.50|1.50|4.00|4.00|OUI||
03 51 00133 0|EMBALTECH TUNISIE SARL|4.00|3.50|1.50|4.00|4.00|OUI||
03 51 00144 5|STE MONDO JEANS|4.00|3.50|1.50|4.00|4.00|OUI||
03 59 00003 0|STE SODI EXPORT|4.00|3.50|1.50|4.00|4.00|OUI||
03 59 00009 0|STE J.C.K|4.00|3.50|1.50|4.00|4.00|OUI||
03 59 00011 1|STE KARMEX SARL|4.00|3.50|1.50|4.00|4.00|OUI||
03 59 00016 2|STE MNIF COMMERCE INTERNATIONA|4.00|3.50|1.50|4.00|4.00|OUI||
03 59 00028 6|STE FCE SARL|4.00|3.50|1.50|4.00|4.00|OUI||
03 63 00003 7|STE MEL SARL|4.00|3.50|1.50|4.00|4.00|OUI||
04 10 00242 6|STE SASSI FRIGO|4.00|3.50|1.50|4.00|4.00|OUI||
04 10 00371 6|STE EL BARKA MODE|4.00|3.50|1.50|4.00|4.00|OUI||
04 50 00008 6|STE EFFE1|4.00|3.50|1.50|4.00|4.00|OUI||
04 50 00050 7|SOLITEX|4.00|3.50|1.50|4.00|4.00|OUI||
04 50 00055 8|PURICELLI TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
04 50 00081 7|AVANTAGES 99|4.00|3.50|1.50|4.00|4.00|OUI||
04 51 00017 9|STE EFFE 1|4.00|3.50|1.50|4.00|4.00|OUI||
04 51 00044 6|SOLITEX|4.00|3.50|1.50|4.00|4.00|OUI||
04 51 00046 2|PURICELLI TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
04 51 00050 0|STE PURICELLI TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
04 51 00084 5|AVANTAGES 99|4.00|3.50|1.50|4.00|4.00|OUI||
04 59 00006 2|STE SASSI FRIGO|4.00|3.50|1.50|4.00|4.00|OUI||
04 59 00007 0|STE SASSI FRIGO|4.00|3.50|1.50|4.00|4.00|OUI||
04 59 00020 8|STE EL BARKA MODE|4.00|3.50|1.50|4.00|4.00|OUI||
04 62 00005 7|STE PURICELLI TUNISIE|4.00|3.50|1.50|4.00|4.00|OUI||
04 63 00003 4|SOLITEX|4.00|3.50|1.50|4.00|4.00|OUI||
04 63 00006 9|STE M S T|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00019 6|STE KORBATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00166 4|TEXKO|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00256 3|ALTUTEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00491 4|STE ALTUTEX COMPANY|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00494 9|ALTUTEX  INTERNATIONAL|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00513 9|STE AYA SHOES|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00519 8|STE A M + COMPANY SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 10 00522 8|STE NADINE TEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 32 00031 9|STE TEXKO SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 32 00035 1|STE TEXKO SARL|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00002 4|ALKATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00003 2|STE NOVATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00005 9|STE INTRATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00006 7|STE ALROTEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00010 5|STE KATEX CONFECTION|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00036 9|G E MA|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00038 5|FRIES|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00042 3|STE KEMA|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00055 5|STE BENITEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00118 7|G T T|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00120 9|KATEX|4.00|3.50|1.50|4.00|4.00|OUI||
05 50 00123 3|STE CHAMA|4.00|3.50|1.50|4.00|4.00|OUI||
